,Unnamed: 0,BP_date,address,apn,best_date,best_stat,comp_date,con_date,dbi_permit,first_date,first_project_record_date,firstfiled,latest_project_record_date,latest_project_status,project_dates,project_duration_days,project_statuses,report_quarter,report_year,status,units,unitsnet,x,y,zoning,zoning_simplified,project_time_years,geometry,index_right,nhood,zone_class
2042,11295,2009-07-14,55 WATERVILLE ST,5379029,2012-07-27,CONSTRUCTION,04/01/2013,2011-05-20,200712049630,2007-12-04,2009-07-14,2007-12-04,2012-07-27,CONSTRUCTION,"('2009-07-14', '2009-07-14', '2009-07-14', '2009-07-14', '2009-07-14', '2009-07-14', '2009-07-14', '2011-05-20', '2011-07-06', '2012-01-11', '2012-03-12', '2012-07-13', '2012-07-27', '2012-07-27', '2012-07-27')",1945.0,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2013,Under Construction,1.0,1.0,-122.402582,37.735288,RH-1,RH-1,5.328767123287672,POINT (-122.402582 37.735288),0,Bayview Hunters Point,Conventional Residential
1028,575,,2189 BAYSHORE BL,5066B007,2009-03-09,CONSTRUCTION,10/01/2009,2009-03-09,200604148997,2006-04-14,2009-03-09,2006-04-14,2009-03-09,CONSTRUCTION,"('2009-03-09',)",1266.0,"('CONSTRUCTION',)",3,2009,Under Construction,5.0,5.0,-122.40168,37.712178,M-1,M-1,3.4684931506849317,POINT (-122.40168 37.712178),0,Bayview Hunters Point,Industrial
1156,26951,2016-07-26,2 VESTA ST,5403001,2016-11-21,CONSTRUCTION,01/01/2017,2016-11-21,201509237900,2015-09-23,2015-09-23,2015-09-23,2016-11-21,CONSTRUCTION,"('2015-09-23', '2015-09-23', '2015-09-23', '2015-09-23', '2016-07-26', '2016-11-21')",466.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'CONSTRUCTION')",4,2016,Under Construction,1.0,1.0,-122.40036972799999,37.7312411613,RH-1,RH-1,1.2767123287671234,POINT (-122.400369728 37.7312411613),0,Bayview Hunters Point,Conventional Residential
1121,12215,2009-06-09,157 APOLLO ST,5405023,2013-05-10,CONSTRUCTION,07/01/2013,2013-04-09,200710105002,2007-10-10,2009-06-09,2007-10-10,2013-05-10,CONSTRUCTION,"('2009-06-09', '2009-06-09', '2009-06-09', '2009-06-09', '2009-06-09', '2009-06-09', '2009-06-09', '2009-06-09', '2009-06-09', '2009-06-09', '2009-06-09', '2009-06-09', '2009-06-09', '2009-06-09', '2013-04-09', '2013-05-10')",2091.0,"('BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'CONSTRUCTION', 'CONSTRUCTION')",2,2013,Under Construction,1.0,1.0,-122.398665,37.730762,RH-1,RH-1,5.728767123287671,POINT (-122.398665 37.730762),0,Bayview Hunters Point,Conventional Residential
1500,12792,2011-02-22,6600 THIRD STREET,5476009,2013-08-29,CONSTRUCTION,10/01/2013,2012-07-13,201007196949,2008-09-23,2008-09-23,2008-09-23,2013-08-29,CONSTRUCTION,"('2008-09-23', '2008-09-23', '2009-11-19', '2010-07-19', '2010-07-19', '2011-02-22', '2011-02-22', '2011-02-22', '2011-02-22', '2011-02-22', '2012-07-13', '2012-10-17', '2012-12-05', '2013-04-17', '2013-06-24', '2013-08-29')",1834.0,"('PL FILED', 'PL FILED', 'PL APPROVED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2013,Under Construction,30.0,30.0,-122.397787,37.718831,RM-1,RM-1,5.024657534246575,POINT (-122.397787 37.718831),0,Bayview Hunters Point,Industrial
1499,22793,,1987 OAKDALE AV,5319028,2016-03-23,CONSTRUCTION,04/01/2016,2016-03-23,201505126143.0,2015-05-12,2015-05-12,2015-05-12,2016-03-23,CONSTRUCTION,"('2015-05-12', '2015-05-12', '2015-05-12', '2016-03-23')",325.0,"('BP FILED', 'BP FILED', 'BP FILED', 'CONSTRUCTION')",1,2016,Under Construction,1.0,1.0,-122.397734,37.7384878582,RH-2,RH-2,0.8904109589041096,POINT (-122.397734 37.7384878582),0,Bayview Hunters Point,Conventional Residential
1653,3101,,1850 PALOU AV,5320024,2009-04-08,CONSTRUCTION,07/01/2010,2009-04-08,200511238930,2005-11-23,2009-04-08,2005-11-23,2009-04-08,CONSTRUCTION,"('2009-04-08', '2009-04-08', '2009-04-08', '2009-04-08')",1681.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2010,Under Construction,1.0,1.0,-122.395818,37.736944,RH-1,RH-1,4.605479452054794,POINT (-122.395818 37.736944),0,Bayview Hunters Point,Conventional Residential
1457,11294,2010-02-04,38 FLORA ST,5355010,2013-02-04,CONSTRUCTION,04/01/2013,2012-07-10,200808139097,2008-08-13,2008-08-13,2008-08-13,2013-02-04,CONSTRUCTION,"('2008-08-13', '2008-08-13', '2010-02-04', '2010-02-04', '2010-02-04', '2010-02-04', '2010-02-04', '2010-02-04', '2011-11-23', '2011-11-23', '2012-07-10', '2012-09-18', '2012-12-12', '2013-02-04')",1692.0,"('BP FILED', 'BP FILED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2013,Under Construction,1.0,1.0,-122.394453,37.732057,RH-1,RH-1,4.635616438356164,POINT (-122.394453 37.732057),0,Bayview Hunters Point,Conventional Residential
759,553,,5600 03RD ST,5421003,2008-12-12,CONSTRUCTION,10/01/2009,2008-12-12,200507278752,2005-07-27,2008-12-12,2005-07-27,2008-12-12,CONSTRUCTION,"('2008-12-12',)",1527.0,"('CONSTRUCTION',)",3,2009,Under Construction,124.0,124.0,-122.39378899999998,37.726979,M-1,M-1,4.183561643835616,POINT (-122.393789 37.726979),0,Bayview Hunters Point,Industrial
2105,27553,2014-03-19,56 LUCY ST,5410008,2015-05-26,CONSTRUCTION,01/01/2017,2014-06-19,201308235132,2013-08-23,2013-08-23,2013-08-23,2015-05-26,CONSTRUCTION,"('2013-08-23', '2013-08-23', '2014-03-19', '2014-06-19', '2014-07-15', '2015-01-14', '2015-05-26', '2015-05-26', '2015-05-26', '2015-05-26', '2015-05-26', '2015-05-26', '2015-05-26', '2015-05-26')",1227.0,"('BP FILED', 'BP FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2016,Under Construction,1.0,1.0,-122.393718479,37.7300619959,RH-2,RH-2,3.361643835616438,POINT (-122.393718479 37.7300619959),0,Bayview Hunters Point,Conventional Residential
817,17638,,1766 OAKDALE AV,5312018,2014-12-08,CONSTRUCTION,01/01/2015,2014-06-18,201001074297.0,2009-11-19,2009-11-19,2009-11-19,2014-12-08,CONSTRUCTION,"('2009-11-19', '2010-04-16', '2010-04-16', '2010-04-16', '2010-04-16', '2010-04-16', '2010-04-16', '2010-04-16', '2010-04-16', '2010-04-16', '2010-04-16', '2010-04-16', '2010-04-16', '2010-04-16', '2010-04-16', '2010-04-16', '2010-04-16', '2010-04-16', '2014-06-18', '2014-09-24', '2014-12-08')",1869.0,"('PL FILED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2014,Under Construction,1.0,1.0,-122.393282,37.736573,RH-2,RH-2,5.120547945205479,POINT (-122.393282 37.736573),0,Bayview Hunters Point,Conventional Residential
64,21952,,2838 JENNINGS ST,4912002,2007-11-16,CONSTRUCTION,01/01/2016,2007-11-16,200612018992.0,2006-12-01,2007-11-16,2006-12-01,2007-11-16,CONSTRUCTION,"('2007-11-16', '2007-11-16', '2007-11-16', '2007-11-16', '2007-11-16', '2007-11-16', '2007-11-16', '2007-11-16', '2007-11-16', '2007-11-16', '2007-11-16', '2007-11-16', '2007-11-16', '2007-11-16', '2007-11-16', '2007-11-16', '2007-11-16', '2007-11-16', '2007-11-16', '2007-11-16', '2007-11-16', '2007-11-16')",3318.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,1.0,1.0,-122.393185768,37.7223463355,PDR-1-B,PDR-1-B,9.09041095890411,POINT (-122.393185768 37.7223463355),0,Bayview Hunters Point,Other
370,26872,2014-04-25,1756 REVERE AV,5338018,2015-06-01,CONSTRUCTION,01/01/2017,2015-06-01,201310159297,2013-10-15,2013-10-15,2013-10-15,2015-06-01,CONSTRUCTION,"('2013-10-15', '2013-10-15', '2014-04-25', '2014-08-28', '2014-08-28', '2015-06-01', '2015-06-01', '2015-06-01', '2015-06-01', '2015-06-01', '2015-06-01', '2015-06-01', '2015-06-01')",1174.0,"('BP FILED', 'BP FILED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2016,Under Construction,1.0,1.0,-122.39275331799999,37.7334393472,RH-2,RH-2,3.2164383561643834,POINT (-122.392753318 37.7334393472),0,Bayview Hunters Point,Conventional Residential
189,18560,,833-881 JAMESTOWN,4991277,2007-09-17,CONSTRUCTION,04/01/2015,2007-09-17,9924080S,1991-02-19,2007-09-17,1991-02-19,2007-09-17,CONSTRUCTION,"('2007-09-17', '2007-09-17', '2007-09-17', '2007-09-17', '2007-09-17', '2007-09-17', '2007-09-17', '2007-09-17', '2007-09-17', '2007-09-17', '2007-09-17', '2007-09-17', '2007-09-17', '2007-09-17', '2007-09-17', '2007-09-17', '2007-09-17', '2007-09-17', '2007-09-17')",8807.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2015,Under Construction,14.0,14.0,-122.392222474,37.7171741763,RH-2,RH-2,24.12876712328767,POINT (-122.392222474 37.7171741763),0,Bayview Hunters Point,Conventional Residential
1791,605,,4800 03RD ST,5322045,2009-09-21,CONSTRUCTION,10/01/2009,2009-09-21,200703146192,2007-03-14,2009-09-21,2007-03-14,2009-09-21,CONSTRUCTION,"('2009-09-21',)",932.0,"('CONSTRUCTION',)",3,2009,Under Construction,18.0,18.0,-122.390887,37.734764,NC-3,NC-3,2.5534246575342467,POINT (-122.390887 37.73476400000001),0,Bayview Hunters Point,Standard Commercial
708,4445,2010-08-12,1646 MCKINNON AV,5296007,2011-01-12,CONSTRUCTION,2011-01-12,2011-01-12,200807096279,2008-01-17,2008-07-09,2008-01-17,2011-01-12,CONSTRUCTION,"('2008-07-09', '2008-07-09', '2010-08-12', '2011-01-12')",1091.0,"('BP FILED', 'BP FILED', 'BP ISSUED', 'CONSTRUCTION')",4,2010,Under Construction,1.0,1.0,-122.390267,37.736569,RH-2,RH-2,2.989041095890411,POINT (-122.390267 37.736569),0,Bayview Hunters Point,Conventional Residential
2162,21926,,750 JAMESTOWN AV,4976019,2009-04-16,CONSTRUCTION,01/01/2016,2009-04-16,200609071583.0,2006-09-07,2009-04-16,2006-09-07,2009-04-16,CONSTRUCTION,"('2009-04-16', '2009-04-16', '2009-04-16', '2009-04-16', '2009-04-16', '2009-04-16', '2009-04-16', '2009-04-16', '2009-04-16', '2009-04-16', '2009-04-16', '2009-04-16', '2009-04-16', '2009-04-16', '2009-04-16', '2009-04-16', '2009-04-16', '2009-04-16', '2009-04-16', '2009-04-16', '2009-04-16', '2009-04-16', '2009-04-16', '2009-04-16', '2009-04-16', '2009-04-16')",3403.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,1.0,1.0,-122.38916838899999,37.7156197596,RH-1,RH-1,9.323287671232876,POINT (-122.389168389 37.7156197596),0,Bayview Hunters Point,Conventional Residential
2181,16575,2013-08-08,4132 03RD ST,5260003,2014-07-28,CONSTRUCTION,10/01/2014,2014-02-26,200707055953.0,2007-07-05,2013-08-08,2007-07-05,2014-07-28,CONSTRUCTION,"('2013-08-08', '2013-08-08', '2014-02-26', '2014-06-30', '2014-07-28')",2645.0,"('BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2014,Under Construction,7.0,7.0,-122.388912,37.740069,M-1,M-1,7.2465753424657535,POINT (-122.388912 37.740069),0,Bayview Hunters Point,Industrial
363,5456,2008-01-17,1502 INNES AV,5259002,2010-05-21,CONSTRUCTION,04/01/2011,2010-03-18,200608250538,2006-08-25,2008-01-17,2006-08-25,2010-05-21,CONSTRUCTION,"('2008-01-17', '2008-01-17', '2010-03-18', '2010-05-21', '2010-05-21', '2010-05-21', '2010-05-21')",1680.0,"('BP REINSTATED', 'BP REINSTATED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2011,Under Construction,1.0,1.0,-122.38709,37.738591,RH-1,RH-1,4.602739726027397,POINT (-122.38709 37.738591),0,Bayview Hunters Point,Conventional Residential
1036,14079,2013-05-23,1379 REVERE AV,4788017,2013-08-22,CONSTRUCTION,01/01/2014,2013-08-22,201212136160,2012-12-13,2012-12-13,2012-12-13,2013-08-22,CONSTRUCTION,"('2012-12-13', '2012-12-13', '2013-05-23', '2013-08-22', '2013-08-22')",384.0,"('BP FILED', 'BP FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION')",4,2013,Under Construction,1.0,1.0,-122.386192,37.729111,RH-2,RH-2,1.0520547945205478,POINT (-122.386192 37.729111),0,Bayview Hunters Point,Conventional Residential
269,18789,2014-07-11,1415 HUDSON AV,5258026,2015-03-13,CONSTRUCTION,04/01/2015,2015-03-13,201308235141.0,2013-08-08,2013-08-23,2013-08-08,2015-03-13,CONSTRUCTION,"('2013-08-23', '2013-08-23', '2013-08-23', '2013-08-23', '2014-07-11', '2015-03-13', '2015-03-13')",601.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION')",1,2015,Under Construction,1.0,1.0,-122.385012469,37.7378931444,RH-1,RH-1,1.6465753424657534,POINT (-122.385012469 37.7378931444),0,Bayview Hunters Point,Conventional Residential
1830,25679,2015-11-09,2500 ARELIOUS WALKER DR,4884025,2016-09-16,CONSTRUCTION,10/01/2016,2016-06-24,201501236565,2015-01-23,2015-11-09,2015-01-23,2016-09-16,CONSTRUCTION,"('2015-11-09', '2016-06-24', '2016-09-16')",617.0,"('BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION')",3,2016,Under Construction,122.0,122.0,-122.38493438299999,37.719382641100005,P,P,1.6904109589041096,POINT (-122.384934383 37.7193826411),0,Bayview Hunters Point,Other
1529,25701,2014-08-21,2600 ARELIOUS WALKER DR,4884025,2016-09-16,CONSTRUCTION,10/01/2016,2015-06-01,201401166470,2014-01-16,2014-01-16,2014-01-16,2016-09-16,CONSTRUCTION,"('2014-01-16', '2014-01-16', '2014-08-21', '2014-10-02', '2015-06-01', '2015-07-29', '2015-10-09', '2015-12-31', '2016-03-29', '2016-06-24', '2016-09-16')",989.0,"('BP FILED', 'BP FILED', 'BP APPROVED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2016,Under Construction,93.0,93.0,-122.38493438299999,37.719382641100005,P,P,2.7095890410958905,POINT (-122.384934383 37.7193826411),0,Bayview Hunters Point,Other
547,18745,2014-07-08,1411 HUDSON AV,5258027,2015-03-16,CONSTRUCTION,04/01/2015,2015-03-16,201308235140.0,2013-08-08,2013-08-23,2013-08-08,2015-03-16,CONSTRUCTION,"('2013-08-23', '2013-08-23', '2013-08-23', '2013-08-23', '2014-07-08', '2015-03-16', '2015-03-16')",601.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION')",1,2015,Under Construction,1.0,1.0,-122.384928038,37.737845268,RH-1,RH-1,1.6465753424657534,POINT (-122.384928038 37.737845268),0,Bayview Hunters Point,Conventional Residential
1361,13834,2010-09-09,63 WEST POINT RD,4624004,2013-04-09,CONSTRUCTION,01/01/2014,2012-02-29,200912223711,2009-12-22,2009-12-22,2009-12-22,2013-04-09,CONSTRUCTION,"('2009-12-22', '2009-12-22', '2009-12-22', '2010-09-09', '2010-09-09', '2010-09-09', '2010-09-09', '2010-09-09', '2010-09-09', '2012-02-29', '2012-07-05', '2012-10-12', '2012-11-13', '2013-04-09', '2013-04-09', '2013-04-09', '2013-04-09')",1471.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2013,Under Construction,52.0,52.0,-122.3808161,37.7367345,RH-2,RH-2,4.03013698630137,POINT (-122.3808161 37.7367345),0,Bayview Hunters Point,Conventional Residential
427,21503,,201 DONAHUE ST,4591C093,2015-02-11,CONSTRUCTION,01/01/2016,2013-08-05,200907223200.0,2009-07-22,2013-08-05,2009-07-22,2015-02-11,CONSTRUCTION,"('2013-08-05', '2013-12-05', '2014-03-28', '2014-06-30', '2014-09-30', '2015-02-11', '2015-02-11', '2015-02-11', '2015-02-11', '2015-02-11')",2354.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,25.0,25.0,-122.3701996,37.7283811843,RM-1,RM-1,6.449315068493151,POINT (-122.3701996 37.7283811843),0,Bayview Hunters Point,Industrial
1751,21543,2013-01-25,201 FRIEDELL ST,4591C094,2015-12-04,CONSTRUCTION,01/01/2016,2014-05-19,200912223677.0,2009-12-22,2013-01-25,2009-12-22,2015-12-04,CONSTRUCTION,"('2013-01-25', '2013-01-25', '2013-01-25', '2014-05-19', '2014-09-25', '2015-03-13', '2015-05-05', '2015-06-29', '2015-10-14', '2015-12-04')",2201.0,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,12.0,12.0,-122.369772516,37.7281384033,RM-1,RM-1,6.03013698630137,POINT (-122.369772516 37.7281384033),0,Bayview Hunters Point,Industrial
751,21470,2013-04-16,50 JERROLD AV,4591C099,2016-01-15,CONSTRUCTION,01/01/2016,2014-03-25,200912223673.0,2009-12-22,2013-04-16,2009-12-22,2016-01-15,CONSTRUCTION,"('2013-04-16', '2013-04-16', '2014-03-25', '2014-06-19', '2014-09-16', '2015-03-13', '2015-04-03', '2015-07-22', '2015-10-13', '2016-01-15')",2201.0,"('BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,34.0,34.0,-122.369239612,37.7276515675,RM-1,RM-1,6.03013698630137,POINT (-122.369239612 37.7276515675),0,Bayview Hunters Point,Industrial
1538,20334,2013-05-17,451 HUDSON AV,4591C045,2015-10-21,CONSTRUCTION,10/01/2015,2014-05-12,201202295147.0,2012-02-29,2013-05-17,2012-02-29,2015-10-21,CONSTRUCTION,"('2013-05-17', '2013-05-17', '2013-05-17', '2014-05-12', '2014-09-15', '2015-01-14', '2015-01-14', '2015-07-28', '2015-10-21')",1310.0,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2015,Under Construction,9.0,9.0,-122.368894098,37.7287620644,RM-1,RM-1,3.589041095890411,POINT (-122.368894098 37.7287620644),0,Bayview Hunters Point,Industrial
1341,21561,2013-05-17,100 AVOCET WY,4591C057,2015-11-12,CONSTRUCTION,01/01/2016,2014-06-30,201202295141.0,2012-02-29,2013-05-17,2012-02-29,2015-11-12,CONSTRUCTION,"('2013-05-17', '2013-05-17', '2013-05-17', '2014-06-30', '2014-08-07', '2015-02-23', '2015-05-28', '2015-05-28', '2015-10-26', '2015-11-12')",1402.0,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,9.0,9.0,-122.36868226600001,37.7287848376,RM-1,RM-1,3.841095890410959,POINT (-122.368682266 37.7287848376),0,Bayview Hunters Point,Industrial
594,21565,2013-05-17,420 INNES AV,4591C070,2015-10-23,CONSTRUCTION,01/01/2016,2014-05-21,201202295144.0,2012-02-29,2013-05-17,2012-02-29,2015-10-23,CONSTRUCTION,"('2013-05-17', '2013-05-17', '2013-05-17', '2014-05-21', '2014-08-27', '2015-02-26', '2015-04-30', '2015-07-30', '2015-10-23', '2015-10-23')",1402.0,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,9.0,9.0,-122.368645162,37.7282525416,RM-1,RM-1,3.841095890410959,POINT (-122.368645162 37.7282525416),0,Bayview Hunters Point,Industrial
1995,21558,2013-05-17,101 AVOCET WY,4591C059,2015-11-12,CONSTRUCTION,01/01/2016,2014-09-25,201202295142.0,2012-02-29,2013-05-17,2012-02-29,2015-11-12,CONSTRUCTION,"('2013-05-17', '2013-05-17', '2013-05-17', '2013-05-17', '2014-09-25', '2015-01-28', '2015-04-03', '2015-04-03', '2015-04-03', '2015-11-12')",1402.0,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,9.0,9.0,-122.368467132,37.7286625934,RM-1,RM-1,3.841095890410959,POINT (-122.368467132 37.7286625934),0,Bayview Hunters Point,Industrial
1401,21537,2012-11-26,198 COLEMAN ST,4591C069,2016-01-15,CONSTRUCTION,01/01/2016,2014-03-24,200912223676.0,2009-12-22,2012-11-26,2009-12-22,2016-01-15,CONSTRUCTION,"('2012-11-26', '2012-11-26', '2014-03-24', '2014-05-19', '2014-09-15', '2015-02-27', '2015-04-22', '2015-04-22', '2015-09-29', '2016-01-15')",2201.0,"('BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,12.0,12.0,-122.368349951,37.728268833099996,RM-1,RM-1,6.03013698630137,POINT (-122.368349951 37.7282688331),0,Bayview Hunters Point,Industrial
1494,21569,2015-06-29,52 INNES CT,4591C082,2015-12-11,CONSTRUCTION,01/01/2016,2015-10-20,201412053180.0,2014-12-05,2014-12-05,2014-12-05,2015-12-11,CONSTRUCTION,"('2014-12-05', '2014-12-05', '2015-06-29', '2015-10-20', '2015-12-11')",392.0,"('BP FILED', 'BP FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,8.0,8.0,-122.36746942299999,37.7276887999,HP-RA,HP-RA,1.073972602739726,POINT (-122.367469423 37.7276887999),0,Bayview Hunters Point,Other
2236,16297,2009-02-17,4132 THIRD STREET,5260002,2014-07-28,CONSTRUCTION,10/01/2014,2014-02-26,200707055953,2007-07-05,2009-02-17,2007-07-05,2014-07-28,CONSTRUCTION,"('2009-02-17', '2009-02-17', '2009-02-17', '2009-02-17', '2009-02-17', '2009-02-17', '2009-02-17', '2009-02-17', '2009-02-17', '2013-08-08', '2013-08-08', '2014-02-26', '2014-06-30', '2014-07-28')",2645.0,"('BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2014,Under Construction,7.0,7.0,-122.38908899999998,37.740114,M-1,M-1,7.2465753424657535,POINT (-122.389089 37.740114),0,Bayview Hunters Point,Industrial
