,Unnamed: 0,BP_date,address,apn,best_date,best_stat,comp_date,con_date,dbi_permit,first_date,first_project_record_date,firstfiled,latest_project_record_date,latest_project_status,project_dates,project_duration_days,project_statuses,report_quarter,report_year,status,units,unitsnet,x,y,zoning,zoning_simplified,project_time_years,geometry,index_right,nhood,zone_class
3064,10628,2011-02-24,270 GRANADA AV,6942046,2012-06-19,CONSTRUCTION,01/01/2013,2011-07-27,200704249487,2007-04-24,2007-04-24,2007-04-24,2012-06-19,CONSTRUCTION,"('2007-04-24', '2007-04-24', '2007-04-24', '2007-04-24', '2007-04-24', '2007-04-24', '2011-02-24', '2011-02-24', '2011-07-27', '2011-07-27', '2011-07-27', '2012-06-19', '2012-06-19', '2012-06-19')",2079.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2012,Under Construction,1.0,1.0,-122.456986,37.723345,RH-2,RH-2,5.695890410958904,POINT (-122.456986 37.723345),23,Oceanview/Merced/Ingleside,Conventional Residential
11,24007,2015-07-28,1325 OCEAN AV,6942054,2016-03-15,CONSTRUCTION,07/01/2016,2016-03-15,201301087514.0,2013-01-08,2013-01-08,2013-01-08,2016-03-15,CONSTRUCTION,"('2013-01-08', '2013-01-08', '2013-01-08', '2013-01-08', '2013-01-08', '2013-01-08', '2013-01-08', '2013-01-08', '2013-01-08', '2015-07-28', '2015-07-28', '2015-11-02', '2016-03-15', '2016-03-15')",1270.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION')",2,2016,Under Construction,1.0,1.0,-122.45665818200001,37.723696026199995,NCT,NCT,3.4794520547945207,POINT (-122.456658182 37.7236960262),23,Oceanview/Merced/Ingleside,Nhb Commercial
1968,10203,,107 LOBOS ST,7104049,2009-08-31,CONSTRUCTION,10/01/2012,2009-08-31,200611016566,2006-11-01,2009-08-31,2006-11-01,2009-08-31,CONSTRUCTION,"('2009-08-31', '2009-08-31', '2009-08-31', '2009-08-31', '2009-08-31', '2009-08-31', '2009-08-31', '2009-08-31', '2009-08-31', '2009-08-31', '2009-08-31', '2009-08-31', '2009-08-31')",2161.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2012,Under Construction,1.0,1.0,-122.456568,37.714764,RH-1,RH-1,5.920547945205479,POINT (-122.456568 37.714764),23,Oceanview/Merced/Ingleside,Conventional Residential
1245,3169,,259 BRIGHTON AV,6943007,2009-11-05,CONSTRUCTION,07/01/2010,2009-06-26,200801152502,2008-01-15,2009-06-26,2008-01-15,2009-11-05,CONSTRUCTION,"('2009-06-26', '2009-11-05', '2009-11-05', '2009-11-05')",898.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2010,Under Construction,1.0,1.0,-122.455274,37.722908,RH-2,RH-2,2.4602739726027396,POINT (-122.455274 37.722908),23,Oceanview/Merced/Ingleside,Conventional Residential
3000,16353,2013-08-07,77 FARALLONES STREET,7108033,2014-01-03,CONSTRUCTION,10/01/2014,2014-01-03,201207316121,2009-05-18,2009-08-06,2009-05-18,2014-01-03,CONSTRUCTION,"('2009-08-06', '2009-08-06', '2009-08-06', '2009-08-06', '2009-08-06', '2009-08-06', '2009-08-06', '2009-08-06', '2009-08-06', '2009-08-06', '2009-08-06', '2012-07-31', '2012-07-31', '2012-07-31', '2012-07-31', '2013-08-07', '2013-08-07', '2014-01-03', '2014-01-03', '2014-01-03')",1962.0,"('PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2014,Under Construction,1.0,1.0,-122.454972,37.713971,RH-1,RH-1,5.375342465753425,POINT (-122.454972 37.713971),23,Oceanview/Merced/Ingleside,Conventional Residential
2524,16703,2014-03-20,270 BRIGHTON AV,6944044,2014-07-23,CONSTRUCTION,10/01/2014,2014-05-13,201308305736.0,2013-08-30,2013-08-30,2013-08-30,2014-07-23,CONSTRUCTION,"('2013-08-30', '2013-08-30', '2013-08-30', '2013-08-30', '2013-08-30', '2013-08-30', '2013-08-30', '2014-03-20', '2014-05-13', '2014-07-23')",397.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION')",3,2014,Under Construction,2.0,2.0,-122.454882,37.722917,RH-2,RH-2,1.0876712328767124,POINT (-122.454882 37.722917),23,Oceanview/Merced/Ingleside,Conventional Residential
2302,1574,,357 LOUISBURG ST,7036010,2009-07-28,CONSTRUCTION,01/01/2010,2009-07-28,200510065005,2005-10-06,2009-07-28,2005-10-06,2009-07-28,CONSTRUCTION,"('2009-07-28', '2009-07-28')",1548.0,"('CONSTRUCTION', 'CONSTRUCTION')",4,2009,Under Construction,1.0,1.0,-122.451025,37.718754,RH-1,RH-1,4.241095890410959,POINT (-122.451025 37.718754),23,Oceanview/Merced/Ingleside,Conventional Residential
421,1575,,351 LOUISBURG ST,7036011,2009-07-28,CONSTRUCTION,01/01/2010,2009-07-28,200510065009,2005-10-06,2009-07-28,2005-10-06,2009-07-28,CONSTRUCTION,"('2009-07-28', '2009-07-28')",1548.0,"('CONSTRUCTION', 'CONSTRUCTION')",4,2009,Under Construction,1.0,1.0,-122.450995,37.718799,RH-1,RH-1,4.241095890410959,POINT (-122.450995 37.718799),23,Oceanview/Merced/Ingleside,Conventional Residential
106,2869,2008-10-10,2569 SAN JOSE AV,7046025,2010-03-03,CONSTRUCTION,07/01/2010,2009-12-09,200511107819,2005-11-10,2008-10-10,2005-11-10,2010-03-03,CONSTRUCTION,"('2008-10-10', '2009-12-09', '2010-03-03', '2010-03-03')",1694.0,"('BP APPROVED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2010,Under Construction,2.0,2.0,-122.449077,37.71758300000001,RH-2,RH-2,4.641095890410959,POINT (-122.449077 37.71758300000001),23,Oceanview/Merced/Ingleside,Conventional Residential
3298,7472,2011-01-13,636 PLYMOUTH AV,7067014,2011-09-16,CONSTRUCTION,01/01/2012,2011-06-09,200710185820,2006-05-25,2007-10-18,2006-05-25,2011-09-16,CONSTRUCTION,"('2007-10-18', '2007-10-18', '2007-10-18', '2007-10-18', '2007-10-18', '2011-01-13', '2011-01-13', '2011-06-09', '2011-09-16', '2011-09-16')",2047.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2011,Under Construction,4.0,4.0,-122.455974,37.716097,RH-1,RH-1,5.608219178082192,POINT (-122.455974 37.716097),23,Oceanview/Merced/Ingleside,Conventional Residential
