,Unnamed: 0,Unnamed: 0.1,BP_date,address_x,aff,affnet,apn,best_date,best_stat,comp_date,con_date,dbi_permit,dropped_out,first_date,first_project_record_date,firstfiled,latest_project_record_date,latest_project_status,project_dates,project_duration_days,project_statuses,report_quarter,report_year,status,units,unitsnet,x,y,zoning,zoning_simplified,bp_duplicates,project_time_years,aff_address,address_y,Low Income Units,Placed in Service (PIS) Date ,iz_address,Total BMRs in this Building or Phase,Planning Approval Date,Completion Date,_merge,geometry,index_right,nhood,permit_time,bp_time,con_time,ptime_per_unit,bptime_per_unit,contime_per_unit,zone_class,year_start,first_year
1186,1186,0,2012-02-10,616 20TH ST,2.0,,4058008,2013-07-16,CONSTRUCTION,10/01/2013,2012-09-24,201012096400,False,2009-11-24,2009-11-24,2009-11-24,2013-07-16,CONSTRUCTION,"('2009-11-24', '2009-11-24', '2009-11-24', '2009-11-24', '2010-12-09', '2010-12-09', '2010-12-09', '2010-12-09', '2012-02-10', '2012-03-09', '2012-03-09', '2012-09-24', '2012-10-24', '2013-04-30', '2013-05-17', '2013-07-16')",1407.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2013,Under Construction,16.0,16.0,-122.387975,37.760768,UMU,UMU,False,3.854794520547945,,,,,616 20TH ST,2.0,12/09/2010,11/12/2013,both,POINT (-122.387975 37.760768),28,Potrero Hill,2.213698630136986,0.6219178082191781,1.0191780821917809,0.13835616438356163,0.03886986301369863,0.0636986301369863,Other,2009,2009
1203,1203,0,,600 18TH STREET,0.0,0.0,3995007,2014-09-30,PL FILED,,,,False,2014-09-30,2014-09-30,2014-09-30,2014-09-30,PL FILED,"('2014-09-30', '2014-09-30', '2014-09-30', '2014-09-30')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED')",2,2015,Proposed,18.0,18.0,-122.389089179,37.7631881033,UMU,UMU,True,,,,,,,,,,left_only,POINT (-122.389089179 37.7631881033),28,Potrero Hill,,,,,,,Other,2014,2014
1269,1269,0,,1601-1677 MARIPOSA STREET/485 CAROLINA,0.0,0.0,4005001B,2015-07-09,PL FILED,,,,True,2012-11-02,2015-07-09,2012-11-02,2015-07-09,PL FILED,"('2015-07-09',)",,"('PL FILED',)",3,2015,Proposed,320.0,320.0,-122.398991528,37.7629330733,UMU,UMU,True,,,,,,,,,,left_only,POINT (-122.398991528 37.7629330733),28,Potrero Hill,,,,,,,Other,2012,2012
1287,1287,0,2015-08-18,1914 20TH ST,0.0,0.0,4071014,2015-08-18,BP ISSUED,,,201302119939,False,2013-02-11,2013-02-11,2013-02-11,2015-08-18,BP ISSUED,"('2013-02-11', '2013-02-11', '2013-02-11', '2013-10-25', '2013-10-25', '2013-10-25', '2013-10-25', '2013-10-25', '2013-10-25', '2013-10-25', '2015-08-18', '2015-08-18', '2015-08-18', '2015-08-18', '2015-08-18', '2015-08-18', '2015-08-18', '2015-08-18')",,"('BP FILED', 'BP FILED', 'BP FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",2,2017,Building Permit Approved,2.0,2.0,-122.40051269530001,37.7599983215,RM-1,RM-1,False,,,,,,,,,,left_only,POINT (-122.4005126953 37.7599983215),28,Potrero Hill,2.515068493150685,,,1.2575342465753425,,,Industrial,2013,2013
1339,1339,0,,201 MISSOURI ST,0.0,0.0,4002024,2014-05-07,BP FILED,,,201405075174,False,2014-05-07,2014-05-07,2014-05-07,2014-05-07,BP FILED,"('2014-05-07', '2014-05-07', '2014-05-07', '2014-05-07', '2014-05-07', '2014-05-07', '2014-05-07', '2014-05-07', '2014-05-07', '2014-05-07', '2014-05-07', '2014-05-07', '2014-05-07')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,2.0,2.0,-122.3963165283,37.7636833191,RH-2,RH-2,False,,,,,,,,,,left_only,POINT (-122.3963165283 37.7636833191),28,Potrero Hill,,,,,,,Conventional Residential,2014,2014
1350,1350,0,,636 CAROLINA ST,0.0,0.0,4071006,2017-06-15,CONSTRUCTION,,2017-03-10,201601227749,False,2016-01-22,2016-01-22,2016-01-22,2017-06-15,CONSTRUCTION,"('2016-01-22', '2016-01-22', '2016-01-22', '2016-01-22', '2017-03-10', '2017-06-15')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'CONSTRUCTION', 'CONSTRUCTION')",2,2017,Under Construction,1.0,1.0,-122.4005203247,37.7605133057,,,False,,,,,,,,,,left_only,POINT (-122.4005203247 37.7605133057),28,Potrero Hill,,,,,,,,2016,2016
1369,1369,0,2016-05-06,901 TENNESSEE ST,6.0,6.0,4108017,2017-08-01,BP ISSUED,,,201604285990,False,2013-03-19,2013-09-12,2013-03-19,2017-08-01,BP ISSUED,"('2013-09-12', '2015-05-21', '2016-05-06', '2016-05-06', '2016-05-06', '2016-05-06', '2017-08-01')",,"('PL FILED', 'PL APPROVED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP ISSUED')",2,2017,Building Permit Approved,44.0,44.0,-122.3891525269,37.7602272034,UMU,UMU,False,,,,,,901 TENNESSEE ST,6.0,05/21/2015,,both,POINT (-122.3891525269 37.7602272034),28,Potrero Hill,3.1342465753424658,,,0.07123287671232877,,,Other,2013,2013
1377,1377,0,,605 MISSISSIPPI ST,0.0,0.0,4103036,2009-01-23,PL APPROVED,,,,True,2008-11-25,2009-01-23,2008-11-25,2009-01-23,PL APPROVED,"('2009-01-23', '2009-01-23', '2009-01-23', '2009-01-23', '2009-01-23', '2009-01-23', '2009-01-23', '2009-01-23', '2009-01-23', '2009-01-23', '2009-01-23', '2009-01-23', '2009-01-23', '2009-01-23', '2009-01-23', '2009-01-23', '2009-01-23', '2009-01-23', '2009-01-23', '2009-01-23', '2009-01-23', '2009-01-23', '2009-01-23', '2009-01-23', '2009-01-23', '2009-01-23')",,"('PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED')",1,2016,Proposed,1.0,1.0,-122.39391100000002,37.7588111296,RH-2,RH-2,True,,,,,,,,,,left_only,POINT (-122.393911 37.7588111296),28,Potrero Hill,,,,,,,Conventional Residential,2008,2008
1388,1388,0,,886 DE HARO ST,0.0,0.0,4095015,2016-09-23,BP FILED,,,200007124940,True,2000-07-12,2016-09-23,2000-07-12,2016-09-23,BP FILED,"('2016-09-23',)",,"('BP FILED',)",3,2016,Proposed,1.0,1.0,-122.401316666,37.758587959699994,RH-2,RH-2,False,,,,,,,,,,left_only,POINT (-122.401316666 37.75858795969999),28,Potrero Hill,,,,,,,Conventional Residential,2000,2000
1395,1395,0,,1036 WISCONSIN ST,0.0,0.0,4219004,2009-10-06,PL APPROVED,,,,True,2008-07-24,2008-07-24,2008-07-24,2009-10-06,PL APPROVED,"('2008-07-24', '2009-10-06', '2009-10-06', '2009-10-06', '2009-10-06', '2009-10-06', '2009-10-06', '2009-10-06', '2009-10-06', '2009-10-06', '2009-10-06', '2009-10-06', '2009-10-06', '2009-10-06', '2009-10-06', '2009-10-06', '2009-10-06', '2009-10-06', '2009-10-06', '2009-10-06', '2009-10-06', '2009-10-06', '2009-10-06', '2009-10-06', '2009-10-06', '2009-10-06')",,"('PL FILED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED')",1,2016,Proposed,1.0,1.0,-122.39895600000001,37.7541910458,RH-2,RH-2,True,,,,,,,,,,left_only,POINT (-122.398956 37.7541910458),28,Potrero Hill,,,,,,,Conventional Residential,2008,2008
1400,1400,0,,1717 17TH ST,2.0,0.0,3980008,2010-07-15,PL APPROVED,,,,True,2005-12-22,2005-12-22,2005-12-22,2010-07-15,PL APPROVED,"('2005-12-22', '2010-07-15', '2010-07-15', '2010-07-15', '2010-07-15', '2010-07-15', '2010-07-15', '2010-07-15', '2010-07-15', '2010-07-15', '2010-07-15', '2010-07-15', '2010-07-15', '2010-07-15', '2010-07-15', '2010-07-15', '2010-07-15', '2010-07-15', '2010-07-15', '2010-07-15')",,"('PL FILED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED')",4,2014,Proposed,41.0,41.0,-122.400827,37.764759999999995,UMU,UMU,True,,,,,,1717 17TH ST,2.0,07/15/2010,11/09/2015,both,POINT (-122.400827 37.76476),28,Potrero Hill,,,,,,,Other,2005,2005
1493,1493,0,,131 MISSOURI ST,0.0,0.0,3985024,2016-12-23,CONSTRUCTION,04/01/2017,2016-01-21,201306199977,False,2013-06-19,2013-06-19,2013-06-19,2016-12-23,CONSTRUCTION,"('2013-06-19', '2013-06-19', '2013-06-19', '2013-06-19', '2013-06-19', '2013-06-19', '2013-06-19', '2013-06-19', '2013-06-19', '2013-06-19', '2016-01-11', '2016-01-21', '2016-06-30', '2016-08-04', '2016-12-23', '2016-12-23')",1382.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2017,Under Construction,9.0,9.0,-122.396412916,37.7646797618,UMU,UMU,False,3.7863013698630135,,,,,,,,,left_only,POINT (-122.396412916 37.7646797618),28,Potrero Hill,,,1.1945205479452055,,,0.13272450532724506,Other,2013,2013
1519,1519,0,2013-06-24,333 PENNSYLVANIA AV,0.0,0.0,4040025,2017-03-17,CONSTRUCTION,,2016-03-30,201306129341,False,2013-06-12,2013-06-24,2013-06-12,2017-03-17,CONSTRUCTION,"('2013-06-24', '2013-06-24', '2013-06-24', '2013-06-24', '2013-06-24', '2013-06-24', '2013-06-24', '2015-06-18', '2015-09-21', '2015-09-21', '2016-03-30', '2016-05-12', '2016-08-30', '2016-11-29', '2017-03-17', '2017-03-17')",,"('BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP ISSUED', 'BP REINSTATED', 'BP REINSTATED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2017,Under Construction,2.0,2.0,-122.3932189941,37.762100219699995,RH-2,RH-2,False,,,,,,,,,,left_only,POINT (-122.3932189941 37.7621002197),28,Potrero Hill,0.03287671232876712,2.767123287671233,,0.01643835616438356,1.3835616438356164,,Conventional Residential,2013,2013
1528,1528,0,2015-01-27,645 TEXAS ST,11.0,11.0,4102026,2017-09-29,CONSTRUCTION,,2015-10-30,201312093691,False,2013-05-09,2013-05-09,2013-05-09,2017-09-29,CONSTRUCTION,"('2013-05-09', '2013-05-09', '2013-12-09', '2013-12-09', '2013-12-09', '2013-12-09', '2015-01-27', '2015-01-27', '2015-01-27', '2015-10-30', '2016-01-12', '2016-03-29', '2016-06-27', '2016-09-30', '2016-12-19', '2017-03-31', '2017-09-29')",,"('PL FILED', 'PL FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2017,Under Construction,94.0,94.0,-122.39456939700001,37.7579650879,MUR,MUR,False,,,,,,645 TEXAS ST,11.0,08/14/2014,,both,POINT (-122.394569397 37.7579650879),28,Potrero Hill,1.7205479452054795,0.7561643835616438,,0.018303701544739145,0.008044301952783444,,Other,2013,2013
1531,1531,0,2016-08-30,534 TEXAS ST,0.0,0.0,4101004,2017-02-13,BP ISSUED,,,201112301504,False,2011-12-30,2011-12-30,2011-12-30 00:00:00,2017-02-13,BP ISSUED,"('2011-12-30', '2011-12-30', '2011-12-30', '2011-12-30', '2011-12-30', '2011-12-30', '2011-12-30', '2011-12-30', '2011-12-30', '2011-12-30', '2011-12-30', '2011-12-30', '2011-12-30', '2011-12-30', '2011-12-30', '2011-12-30', '2011-12-30', '2011-12-30', '2011-12-30', '2016-08-30', '2016-08-30', '2017-02-13', '2017-02-13')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP APPROVED', 'BP ISSUED', 'BP ISSUED')",2,2017,Building Permit Approved,2.0,2.0,-122.3955764771,37.7595291138,RH-2,RH-2,False,,,,,,,,,,left_only,POINT (-122.3955764771 37.7595291138),28,Potrero Hill,4.671232876712328,,,2.335616438356164,,,Conventional Residential,2011,2011
1536,1536,0,2015-10-01,1087 MISSISSIPPI ST,0.0,0.0,4224049,2015-10-01,BP REINSTATED,,,201308295550,True,2013-08-29,2013-08-29,2013-08-29,2015-10-01,BP REINSTATED,"('2013-08-29', '2013-08-29', '2013-08-29', '2013-08-29', '2013-08-29', '2015-10-01', '2015-10-01', '2015-10-01', '2015-10-01', '2015-10-01')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED', 'BP REINSTATED')",3,2016,Building Permit Approved,1.0,1.0,-122.39334793,37.752904370900005,UMU,UMU,False,,,,,,,,,,left_only,POINT (-122.39334793 37.75290437090001),28,Potrero Hill,2.0904109589041098,,,2.0904109589041098,,,Other,2013,2013
