,Unnamed: 0,Unnamed: 0.1,BP_date,address_x,aff,affnet,apn,best_date,best_stat,comp_date,con_date,dbi_permit,dropped_out,first_date,first_project_record_date,firstfiled,latest_project_record_date,latest_project_status,project_dates,project_duration_days,project_statuses,report_quarter,report_year,status,units,unitsnet,x,y,zoning,zoning_simplified,bp_duplicates,project_time_years,aff_address,address_y,Low Income Units,Placed in Service (PIS) Date ,iz_address,Total BMRs in this Building or Phase,Planning Approval Date,Completion Date,_merge,geometry,index_right,nhood,permit_time,bp_time,con_time,ptime_per_unit,bptime_per_unit,contime_per_unit,zone_class,year_start,first_year
0,0,0,2012-02-17,500 CAPP ST,0.0,0.0,3610032,2015-09-29,CONSTRUCTION,10/01/2015,2015-04-01,201007015845,False,2009-08-14,2009-08-14,2009-08-14,2015-09-29,CONSTRUCTION,"('2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2009-08-14', '2012-02-17', '2012-02-17', '2015-04-01', '2015-05-27', '2015-07-30', '2015-09-29')",2239.0,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2015,Under Construction,1.0,1.0,-122.418185864,37.7585623509,RTO-M,RTO-M,False,6.134246575342464,,,,,,,,,left_only,POINT (-122.418185864 37.7585623509),18,Mission,2.5123287671232877,3.1205479452054794,0.5013698630136987,2.5123287671232877,3.1205479452054794,0.5013698630136987,Mixed Residential,2009,2009
2,2,0,,1340 ALABAMA ST,0.0,0.0,4271008,2015-11-24,CONSTRUCTION,01/01/2016,2014-03-12,201312134188,False,2013-12-13,2013-12-13,2013-12-13,2015-11-24,CONSTRUCTION,"('2013-12-13', '2014-03-12', '2014-03-12', '2014-03-12', '2014-03-12', '2014-03-12', '2014-03-12', '2014-03-12', '2015-11-24')",749.0,"('BP FILED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",4,2015,Under Construction,1.0,1.0,-122.41100541200001,37.7502255371,RH-2,RH-2,False,2.052054794520548,,,,,,,,,left_only,POINT (-122.411005412 37.7502255371),18,Mission,,,1.8082191780821917,,,1.8082191780821917,Conventional Residential,2013,2013
14,14,0,,829 YORK ST,0.0,0.0,4088024,2017-03-02,PL APPROVED,,,201602089074,False,2016-02-08,2016-02-08,2016-02-08,2017-03-02,PL APPROVED,"('2016-02-08', '2016-02-08', '2016-02-08', '2016-02-08', '2016-02-08', '2017-03-02')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'PL APPROVED')",2,2017,Proposed,1.0,1.0,-122.4084243774,37.7581825256,,,False,,,,,,,,,,left_only,POINT (-122.4084243774 37.7581825256),18,Mission,,,,,,,,2016,2016
17,17,0,2011-03-11,990 GUERRERO ST,0.0,0.0,3618071,2017-03-10,CONSTRUCTION,,2012-02-02,201002035833,False,2010-02-03,2010-02-03,2010-02-03,2017-03-10,CONSTRUCTION,"('2010-02-03', '2010-02-03', '2010-02-03', '2010-02-03', '2011-03-11', '2011-03-11', '2011-03-11', '2012-02-02', '2012-03-01', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2012-03-07', '2016-08-22', '2016-11-04', '2017-03-10', '2017-03-10')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2017,Under Construction,1.0,1.0,-122.4235458374,37.7553634644,RH-3,RH-3,False,,,,,,,,,,left_only,POINT (-122.4235458374 37.7553634644),18,Mission,1.0986301369863014,0.8986301369863013,,1.0986301369863014,0.8986301369863013,,Conventional Residential,2010,2010
29,29,0,,3081 22ND ST,,,3638088,2010-01-06,CONSTRUCTION,04/01/2010,2009-09-17,200710316965,False,2007-10-31,2009-09-17,2007-10-31,2010-01-06,CONSTRUCTION,"('2009-09-17', '2009-12-15', '2010-01-06')",883.0,"('CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2010,Under Construction,3.0,3.0,-122.416133,37.75546,RH-3,RH-3,False,2.419178082191781,,,,,,,,,left_only,POINT (-122.416133 37.75546),18,Mission,,,0.536986301369863,,,0.17899543378995433,Conventional Residential,2007,2007
33,33,0,,2435-2445 16TH ST,6.0,6.0,3965021,2015-03-25,PL FILED,,,,True,2014-08-01,2015-03-25,2014-08-01,2015-03-25,PL FILED,"('2015-03-25', '2015-03-25', '2015-03-25')",,"('PL FILED', 'PL FILED', 'PL FILED')",3,2015,Proposed,53.0,53.0,-122.41111997700001,37.7653208742,UMU,UMU,True,,,,,,,,,,left_only,POINT (-122.411119977 37.7653208742),18,Mission,,,,,,,Other,2014,2014
57,57,0,,2507 FOLSOM ST,0.0,0.0,3613030,2016-03-02,PL FILED,,,,False,2016-03-02,2016-03-02,2016-03-02,2016-03-02,PL FILED,"('2016-03-02', '2016-03-02', '2016-03-02', '2016-03-02', '2016-03-02', '2016-03-02')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED')",2,2017,Proposed,6.0,6.0,-122.4142608643,37.7571296692,,,True,,,,,,,,,,left_only,POINT (-122.4142608643 37.7571296692),18,Mission,,,,,,,,2016,2016
59,59,0,,2799 24TH ST,0.0,0.0,4266035,2015-06-18,PL FILED,,,201608296214,False,2014-08-15,2015-06-18,2014-08-15,2015-06-18,PL FILED,"('2015-06-18', '2015-06-18', '2015-06-18', '2015-06-18', '2015-06-18', '2015-06-18', '2015-06-18', '2015-06-18', '2015-06-18')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED')",2,2017,Proposed,7.0,7.0,-122.40802001950001,37.7526473999,,,False,,,,,,,,,,left_only,POINT (-122.4080200195 37.7526473999),18,Mission,,,,,,,,2014,2014
68,68,0,,657 VALENCIA ST,0.0,0.0,3576061,2015-10-23,BP FILED,,,201510230626,False,2015-10-23,2015-10-23,2015-12-01,2015-10-23,BP FILED,"('2015-10-23', '2015-10-23', '2015-10-23', '2015-10-23', '2015-10-23', '2015-10-23', '2015-10-23')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,4.0,4.0,-122.4213638306,37.7624168396,,,False,,,,,,,,,,left_only,POINT (-122.4213638306 37.76241683960001),18,Mission,,,,,,,,2015,2015
81,81,0,2010-09-02,299 VALENCIA ST,4.0,,3532014,2012-02-21,CONSTRUCTION,04/01/2012,2011-03-04,200611097334,False,2006-11-09,2006-11-09,2006-11-09,2012-02-21,CONSTRUCTION,"('2006-11-09', '2006-11-09', '2006-11-09', '2006-11-09', '2010-09-02', '2010-09-02', '2011-03-04', '2011-06-03', '2011-07-08', '2012-02-02', '2012-02-21')",1970.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2012,Under Construction,44.0,44.0,-122.42211,37.768232,NCT-3,NCT-3,False,5.397260273972603,,,,,299 VALENCIA ST,4.0,11/06/2008,06/13/2012,both,POINT (-122.42211 37.768232),18,Mission,3.8164383561643835,0.5013698630136987,1.0794520547945206,0.08673723536737235,0.011394769613947697,0.024533001245330012,Nhb Commercial,2006,2006
83,83,0,,3140 16TH ST,0.0,0.0,3555018,2016-07-27,PL APPROVED,,,,True,2014-07-10,2015-05-11,2014-07-10,2016-07-27,PL APPROVED,"('2015-05-11', '2015-05-11', '2015-05-11', '2016-07-27', '2016-07-27')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL APPROVED', 'PL APPROVED')",4,2016,Proposed,4.0,4.0,-122.42289112700001,37.7651062252,NCT,NCT,True,,,,,,,,,,left_only,POINT (-122.422891127 37.7651062252),18,Mission,,,,,,,Nhb Commercial,2014,2014
87,87,0,2017-01-05,1152 POTRERO AV,0.0,0.0,4211011,2017-07-06,CONSTRUCTION,,2017-07-06,201502249220,False,2015-02-24,2015-02-24,2015-02-24,2017-07-06,CONSTRUCTION,"('2015-02-24', '2015-02-24', '2015-02-24', '2015-02-24', '2015-12-16', '2015-12-16', '2015-12-16', '2015-12-16', '2017-01-05', '2017-07-06')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'BP ISSUED', 'CONSTRUCTION')",2,2017,Under Construction,2.0,2.0,-122.4067459106,37.7537078857,,,False,,,,,,,,,,left_only,POINT (-122.4067459106 37.7537078857),18,Mission,1.8657534246575342,0.4986301369863014,,0.9328767123287671,0.2493150684931507,,,2015,2015
94,94,0,2014-06-06,1936 FOLSOM ST,0.0,0.0,3552008,2014-06-06,BP APPROVED,,,201311010933,False,2013-11-01,2013-11-01,2013-11-01,2014-06-06,BP APPROVED,"('2013-11-01', '2013-11-01', '2014-06-06', '2014-06-06', '2014-06-06', '2014-06-06', '2014-06-06', '2014-06-06', '2014-06-06', '2014-06-06', '2014-06-06', '2014-06-06', '2014-06-06', '2014-06-06', '2014-06-06')",,"('BP FILED', 'BP FILED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED')",2,2017,Building Permit Approved,1.0,1.0,-122.41575622559999,37.766311645500004,RH-3,RH-3,False,,,,,,,,,,left_only,POINT (-122.4157562256 37.7663116455),18,Mission,0.5945205479452055,,,0.5945205479452055,,,Conventional Residential,2013,2013
110,110,0,,3424 26TH ST,,,6529012B,2007-06-20,BP FILED,,,200706204570,True,2007-06-20,2007-06-20,2007-06-20,2007-06-20,BP FILED,"('2007-06-20', '2007-06-20', '2007-06-20')",,"('BP FILED', 'BP FILED', 'BP FILED')",1,2010,Proposed,3.0,3.0,-122.41931399999999,37.749033000000004,RTO-M,RTO-M,False,,,,,,,,,,left_only,POINT (-122.419314 37.749033),18,Mission,,,,,,,Mixed Residential,2007,2007
113,113,0,,1515 SOUTH VAN NESS AV,19.0,19.0,6571001,2016-08-11,PL APPROVED,,,,False,2014-07-01,2015-01-28,2014-07-01,2016-08-11,PL APPROVED,"('2015-01-28', '2015-01-28', '2015-01-28', '2016-08-11', '2016-08-11', '2016-08-11', '2016-08-11')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED')",2,2017,Proposed,157.0,157.0,-122.4149932861,37.7490272522,,,True,,,,,,,,,,left_only,POINT (-122.4149932861 37.7490272522),18,Mission,,,,,,,,2014,2014
120,120,0,,3700 20TH ST,0.0,0.0,3598009,2017-02-07,PL APPROVED,,,,False,2016-09-29,2016-09-29,2016-09-29,2017-02-07,PL APPROVED,"('2016-09-29', '2016-09-29', '2017-02-07', '2017-02-07')",,"('PL FILED', 'PL FILED', 'PL APPROVED', 'PL APPROVED')",2,2017,Proposed,1.0,1.0,-122.423828125,37.7584838867,,,True,,,,,,,,,,left_only,POINT (-122.423828125 37.7584838867),18,Mission,,,,,,,,2016,2016
131,131,0,,49 JULIAN AV,0.0,0.0,3547032,2012-01-26,PL APPROVED,,,,False,2005-03-09,2005-05-26,2005-03-09,2012-01-26,PL APPROVED,"('2005-05-26', '2005-05-26', '2005-05-26', '2005-05-26', '2005-05-26', '2012-01-26', '2012-01-26', '2012-01-26', '2012-01-26', '2012-01-26', '2012-01-26', '2012-01-26', '2012-01-26', '2012-01-26', '2012-01-26', '2012-01-26', '2012-01-26', '2012-01-26', '2012-01-26', '2012-01-26', '2012-01-26', '2012-01-26', '2012-01-26', '2012-01-26')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED')",2,2016,Proposed,8.0,8.0,-122.420867824,37.7674173536,UMU,UMU,True,,,,,,,,,,left_only,POINT (-122.420867824 37.7674173536),18,Mission,,,,,,,Other,2005,2005
145,145,0,,658 - 666 SHOTWELL ST,0.0,0.0,3611062,2013-10-10,PL APPROVED,,,,True,2010-02-18,2013-10-10,2010-02-18,2013-10-10,PL APPROVED,"('2013-10-10',)",,"('PL APPROVED',)",1,2016,Proposed,1.0,1.0,-122.416001,37.7578281854,RH-3,RH-3,True,,,,,,,,,,left_only,POINT (-122.416001 37.7578281854),18,Mission,,,,,,,Conventional Residential,2010,2010
151,151,0,2014-03-17,3249 17TH ST,0.0,0.0,3575063,2016-05-04,CONSTRUCTION,10/01/2016,2015-10-09,201003248891,False,2005-12-15,2005-12-15,2005-12-15,2016-05-04,CONSTRUCTION,"('2005-12-15', '2005-12-15', '2010-03-24', '2010-03-24', '2010-03-24', '2010-03-24', '2010-03-24', '2010-03-24', '2010-03-24', '2010-03-24', '2010-03-24', '2010-03-24', '2010-03-24', '2010-03-24', '2010-03-24', '2010-03-24', '2010-03-24', '2010-03-24', '2014-03-17', '2014-03-17', '2014-03-17', '2014-03-17', '2014-03-17', '2014-03-17', '2015-10-09', '2015-12-16', '2016-01-26', '2016-05-04', '2016-05-04')",3943.0,"('PL FILED', 'PL FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",3,2016,Under Construction,2.0,2.0,-122.418264403,37.7632790476,RTO-M,RTO-M,False,10.802739726027395,,,,,,,,,left_only,POINT (-122.418264403 37.7632790476),18,Mission,8.257534246575343,1.5643835616438355,0.9808219178082191,4.1287671232876715,0.7821917808219178,0.4904109589041096,Mixed Residential,2005,2005
168,168,0,2014-02-12,480 POTRERO AV,11.0,11.0,3973002C,2016-01-13,CONSTRUCTION,07/01/2016,2015-03-26,201306250465,False,2002-03-22,2004-08-17,2002-03-22,2016-01-13,CONSTRUCTION,"('2004-08-17', '2012-10-04', '2012-10-04', '2013-06-25', '2013-06-25', '2013-06-25', '2014-02-12', '2014-05-23', '2014-05-23', '2015-03-26', '2015-05-20', '2015-07-29', '2015-10-08', '2016-01-13', '2016-01-13', '2016-01-13')",5215.0,"('BP ISSUED', 'PL FILED', 'PL FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED', 'BP REINSTATED', 'BP REINSTATED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2016,Under Construction,77.0,77.0,-122.407671365,37.763477661399996,UMU,UMU,False,14.287671232876713,,,,,480 POTRERO AVE,11.0,08/08/2013,,both,POINT (-122.407671365 37.7634776614),18,Mission,11.904109589041095,1.115068493150685,1.2684931506849315,0.15459882583170254,0.014481409001956947,0.016473937021882226,Other,2002,2002
191,191,0,,3357 26TH ST,0.0,0.0,6570002,2016-08-09,PL FILED,,,,False,2013-06-10,2015-02-05,2013-06-10,2016-08-09,PL FILED,"('2015-02-05', '2015-02-05', '2015-02-05', '2016-08-09', '2016-08-09', '2016-08-09', '2016-08-09')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED')",2,2017,Proposed,5.0,5.0,-122.41725158690001,37.7488365173,,,True,,,,,,,,,,left_only,POINT (-122.4172515869 37.7488365173),18,Mission,,,,,,,,2013,2013
199,199,0,2008-11-03,769 TREAT AV,,,3612062,2010-07-14,CONSTRUCTION,04/01/2011,2010-04-22,200705161448,False,2007-05-16,2008-11-03,2007-05-16,2010-07-14,CONSTRUCTION,"('2008-11-03', '2008-11-03', '2010-04-22', '2010-04-22', '2010-07-14', '2010-07-14', '2010-07-14')",1416.0,"('BP ISSUED', 'BP ISSUED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",1,2011,Under Construction,1.0,1.0,-122.413328,37.757915999999994,RH-3,RH-3,False,3.8794520547945206,,,,,,,,,left_only,POINT (-122.413328 37.75791599999999),18,Mission,1.4712328767123288,1.4657534246575343,0.9424657534246575,1.4712328767123288,1.4657534246575343,0.9424657534246575,Conventional Residential,2007,2007
201,201,0,,2944 21ST ST,0.0,0.0,3612017,2017-09-11,CONSTRUCTION,,2016-06-22,201504103363,False,2015-04-10,2015-04-10,2015-04-10,2017-09-11,CONSTRUCTION,"('2015-04-10', '2015-04-10', '2015-04-10', '2015-04-10', '2016-06-22', '2016-06-22', '2016-10-05', '2017-03-01', '2017-09-11')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2017,Under Construction,2.0,2.0,-122.4132995605,37.7575378418,,,False,,,,,,,,,,left_only,POINT (-122.4132995605 37.7575378418),18,Mission,,,,,,,,2015,2015
218,218,0,,2600 HARRISON ST,0.0,0.0,3639001,2016-08-11,PL APPROVED,,,201501236483,False,2014-04-03,2014-06-20,2014-04-03,2016-08-11,PL APPROVED,"('2014-06-20', '2014-06-20', '2014-06-20', '2014-06-20', '2014-06-20', '2014-06-20', '2014-06-20', '2015-01-23', '2015-01-23', '2016-08-11', '2016-08-11', '2016-08-11', '2016-08-11')",,"('PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'PL FILED', 'BP FILED', 'BP FILED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED', 'PL APPROVED')",2,2017,Proposed,20.0,20.0,-122.41240692139999,37.7553787231,UMU,UMU,False,,,,,,,,,,left_only,POINT (-122.4124069214 37.7553787231),18,Mission,,,,,,,Other,2014,2014
220,220,0,,235 VALENCIA ST,6.0,6.0,3532019B,2016-11-08,PL FILED,,,,False,2016-06-13,2016-11-08,2016-06-13,2016-11-08,PL FILED,"('2016-11-08', '2016-11-08', '2016-11-08')",,"('PL FILED', 'PL FILED', 'PL FILED')",2,2017,Proposed,50.0,50.0,-122.4218444824,37.769203186,,,True,,,,,,,,,,left_only,POINT (-122.4218444824 37.769203186),18,Mission,,,,,,,,2016,2016
295,295,0,2010-10-21,3360 20TH ST,0.0,0.0,3594016,2010-10-21,BP APPROVED,,,200512200747,True,2005-08-23,2005-12-20,2005-08-23,2010-10-21,BP APPROVED,"('2005-12-20', '2005-12-20', '2005-12-20', '2005-12-20', '2005-12-20', '2010-10-21', '2010-10-21', '2010-10-21', '2010-10-21', '2010-10-21', '2010-10-21', '2010-10-21', '2010-10-21', '2010-10-21', '2010-10-21', '2010-10-21', '2010-10-21', '2010-10-21', '2010-10-21', '2010-10-21', '2010-10-21', '2010-10-21', '2010-10-21', '2010-10-21', '2010-10-21', '2010-10-21', '2010-10-21')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED')",1,2016,Building Permit Approved,6.0,6.0,-122.41615300000001,37.7590266075,NC-2,NC-2,False,,,,,,,,,,left_only,POINT (-122.416153 37.7590266075),18,Mission,5.164383561643835,,,0.8607305936073059,,,Standard Commercial,2005,2005
301,301,0,2010-09-08,1280 HAMPSHIRE ST,,,4266013,2011-11-03,CONSTRUCTION,07/01/2013,2011-06-15,200807187072,False,2008-07-18,2008-07-18,2008-07-18,2011-11-03,CONSTRUCTION,"('2008-07-18', '2008-07-18', '2008-07-18', '2008-07-18', '2010-09-08', '2010-09-08', '2010-09-08', '2011-06-15', '2011-08-25', '2011-11-03', '2011-11-03', '2011-11-03', '2011-11-03', '2011-11-03', '2011-11-03', '2011-11-03')",1809.0,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP APPROVED', 'BP APPROVED', 'BP APPROVED', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION', 'CONSTRUCTION')",2,2013,Under Construction,3.0,3.0,-122.407349,37.751717,RH-3,RH-3,False,4.956164383561643,,,,,,,,,left_only,POINT (-122.407349 37.751717),18,Mission,2.1424657534246574,0.7671232876712328,2.0465753424657533,0.7141552511415524,0.2557077625570776,0.6821917808219178,Conventional Residential,2008,2008
307,307,0,2014-03-07,1432 YORK ST,,,4335001E,2014-03-07,BP ISSUED,,,201310078710,False,2013-10-07,2013-10-07,2013-10-07,2014-03-07,BP ISSUED,"('2013-10-07', '2014-03-07', '2014-03-07')",,"('BP FILED', 'BP ISSUED', 'BP ISSUED')",2,2014,Building Permit Approved,1.0,1.0,-122.40781399999999,37.749206,RH-2,RH-2,False,,,,,,,,,,left_only,POINT (-122.407814 37.749206),18,Mission,0.4136986301369863,,,0.4136986301369863,,,Conventional Residential,2013,2013
312,312,0,,925 GUERRERO ST,0.0,0.0,3617061,2016-12-14,BP FILED,,,201612145005,False,2016-12-14,2016-12-14,2016-12-14,2016-12-14,BP FILED,"('2016-12-14', '2016-12-14', '2016-12-14')",,"('BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,2.0,2.0,-122.4229812622,37.7563514709,,,False,,,,,,,,,,left_only,POINT (-122.4229812622 37.75635147090001),18,Mission,,,,,,,,2016,2016
323,323,0,,198 VALENCIA ST,0.0,0.0,3502108,2014-08-05,BP FILED,,,201408053094,False,2014-08-05,2014-08-05,2014-08-05,2014-08-05,BP FILED,"('2014-08-05', '2014-08-05', '2014-08-05', '2014-08-05', '2014-08-05', '2014-08-05', '2014-08-05', '2014-08-05', '2014-08-05', '2014-08-05', '2014-08-05', '2014-08-05')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,28.0,28.0,-122.4226837158,37.7700958252,NCT-3,NCT-3,False,,,,,,,,,,left_only,POINT (-122.4226837158 37.7700958252),18,Mission,,,,,,,Nhb Commercial,2014,2014
345,345,0,,953 TREAT AV (BLDG 1 OF 2),0.0,0.0,3639028,2015-11-04,BP FILED,,,201511041763,True,2015-07-10,2015-11-04,2015-07-10,2015-11-04,BP FILED,"('2015-11-04',)",,"('BP FILED',)",4,2016,Proposed,2.0,2.0,-122.41303021899999,37.755099746300004,UMU,UMU,False,,,,,,,,,,left_only,POINT (-122.413030219 37.7550997463),18,Mission,,,,,,,Other,2015,2015
349,349,0,,1008 ALABAMA ST,,,4148002,2004-10-29,BP FILED,,,200410298059,True,2004-10-29,2004-10-29,2004-10-29,2004-10-29,BP FILED,"('2004-10-29',)",,"('BP FILED',)",3,2009,Proposed,1.0,1.0,-122.41140800000001,37.75561,RH-3,RH-3,False,,,,,,,,,,left_only,POINT (-122.411408 37.75561),18,Mission,,,,,,,Conventional Residential,2004,2004
363,363,0,2012-06-29,3500 19TH ST,0.0,,3588012,2012-06-29,BP ISSUED,,,200605010369,False,2006-05-01,2006-05-01,2006-05-01,2012-06-29,BP ISSUED,"('2006-05-01', '2006-05-01', '2006-05-01', '2006-05-01', '2006-05-01', '2006-05-01', '2006-05-01', '2006-05-01', '2006-05-01', '2006-05-01', '2006-05-01', '2012-06-29')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP ISSUED')",2,2012,Building Permit Approved,17.0,17.0,-122.421507,37.760168,Valencia Street,Valencia Street,False,,,,,,3500 19TH ST,0.0,02/21/2008,10/12/2012,both,POINT (-122.421507 37.760168),18,Mission,6.167123287671233,,,0.3627719580983078,,,Other,2006,2006
365,365,0,,606 CAPP ST,0.0,0.0,3615055,2016-06-29,BP FILED,,,201606291227,False,2016-06-29,2016-06-29,2016-06-29,2016-06-29,BP FILED,"('2016-06-29', '2016-06-29', '2016-06-29', '2016-06-29', '2016-06-29')",,"('BP FILED', 'BP FILED', 'BP FILED', 'BP FILED', 'BP FILED')",2,2017,Proposed,20.0,20.0,-122.41809082030001,37.7567367554,,,False,,,,,,,,,,left_only,POINT (-122.4180908203 37.7567367554),18,Mission,,,,,,,,2016,2016
378,378,0,2008-04-22,160 14TH ST,,,3530049,2008-04-22,BP ISSUED,,,200710034503,True,2007-10-03,2008-04-22,2007-10-03,2008-04-22,BP ISSUED,"('2008-04-22', '2008-04-22', '2008-04-22', '2008-04-22', '2008-04-22', '2008-04-22', '2008-04-22', '2008-04-22', '2008-04-22', '2008-04-22', '2008-04-22', '2008-04-22', '2008-04-22', '2008-04-22', '2008-04-22', '2008-04-22', '2008-04-22')",,"('BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED', 'BP ISSUED')",3,2013,Building Permit Approved,1.0,1.0,-122.41695449999999,37.7685532,PDR-1-G,PDR-1-G,False,,,,,,,,,,left_only,POINT (-122.4169545 37.7685532),18,Mission,0.5534246575342465,,,0.5534246575342465,,,Other,2007,2007
